Indicator,Health Indicator Group,geo,year
Upazilla EPI Tally Book(child) stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2015
Upazilla EPI Women Report Book stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2015
Upazilla EPI Women register stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2015
Upazilla EPI batch card stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2015
Upazilla EPI daily vaccine distribution register stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2015
Upazilla EPI pentavalent stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2015
Upazilla EPI stock register for logistic stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2015
Upazilla EPI stock register for vaccine/diluent stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2015
Upazilla EPI supply book stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2015
Upazilla EPI temperature chart stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2015
Upazilla EPI zip lock bag stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2015
upazilla_epi_AEFI Form closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2015
upazilla_epi_AEFI Investigation form closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2015
upazilla_epi_AEFI form E36 - E39 closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2015
upazilla_epi_AEFI line listing form closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2015
upazilla_epi_BCG Diluent closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2015
upazilla_epi_BCG closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2015
upazilla_epi_Child Card closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2015
upazilla_epi_Child Report Book closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2015
upazilla_epi_Child register closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2015
upazilla_epi_IPV closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2015
upazilla_epi_MR Diluent closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2015
upazilla_epi_MR closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2015
upazilla_epi_Moni Flag closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2015
upazilla_epi_OPV closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2015
upazilla_epi_OPV dropper closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2015
upazilla_epi_PCV closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2015
upazilla_epi_Pentavalent closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2015
upazilla_epi_Safety Box closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2015
upazilla_epi_Supervision Form closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2015
upazilla_epi_Syringe (0.05 ml) closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2015
upazilla_epi_Syringe (0.1 ml) closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2015
upazilla_epi_Syringe (0.5 ml) closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2015
upazilla_epi_Syringe (3 ml) closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2015
upazilla_epi_Syringe (5 ml) closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2015
upazilla_epi_TT Card closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2015
upazilla_epi_TT closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2015
upazilla_epi_Tally Book (Women) closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2015
upazilla_epi_Tally Book (child) closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2015
upazilla_epi_Women Report Book closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2015
upazilla_epi_Women register closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2015
upazilla_epi_batch card closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2015
upazilla_epi_cc EPI supply book closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2015
upazilla_epi_daily vaccine distribution closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2015
upazilla_epi_fw product distribution closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2015
upazilla_epi_stock register for logistic closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2015
upazilla_epi_stock register for vaccine/diluent closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2015
upazilla_epi_supply book closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2015
upazilla_epi_temperature chart closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2015
upazilla_epi_zip lock bag closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2015
BCG Crude Coverage %,03Immunization,Upazila,2015
BCG left out Rate,03Immunization,Upazila,2015
BCG to MR 1 Drop out Rate,03Immunization,Upazila,2015
BCG to Penta 3 drop out Rate,03Immunization,Upazila,2015
BCG vial wastage rate,03Immunization,Upazila,2015
EPI Session drop out rate,03Immunization,Upazila,2015
IPV vial wastage rate,03Immunization,Upazila,2015
MR 1 Crude Coverage %,03Immunization,Upazila,2015
MR 1 to MR 2 drop out Rate,03Immunization,Upazila,2015
MR 2 Crude Coverage %,03Immunization,Upazila,2015
MR vial wastage rate,03Immunization,Upazila,2015
OPV 0 Crude Coverage %,03Immunization,Upazila,2015
OPV 1 Crude Coverage %,03Immunization,Upazila,2015
OPV 2 Crude Coverage %,03Immunization,Upazila,2015
OPV 3 Crude Coverage %,03Immunization,Upazila,2015
OPV vial wastage rate,03Immunization,Upazila,2015
PCV 1 Crude Coverage %,03Immunization,Upazila,2015
PCV 2 Crude Coverage %,03Immunization,Upazila,2015
PCV 3 Crude Coverage %,03Immunization,Upazila,2015
PCV vial wastage rate,03Immunization,Upazila,2015
Penta 1 Crude Coverage %,03Immunization,Upazila,2015
Penta 1 to MR 1 drop out Rate,03Immunization,Upazila,2015
Penta 1 to MR 2 drop out Rate,03Immunization,Upazila,2015
Penta 1 to Penta 3 drop out Rate,03Immunization,Upazila,2015
Penta 2 Crude Coverage %,03Immunization,Upazila,2015
Penta 3 Crude Coverage %,03Immunization,Upazila,2015
Pentavalent vial use and doses ratio,03Immunization,Upazila,2015
Pentavalent vial wastage rate,03Immunization,Upazila,2015
TT vial wastage rate,03Immunization,Upazila,2015
Total MR Given,03Immunization,Upazila,2015
Total OPV Given,03Immunization,Upazila,2015
Total PCV Given,03Immunization,Upazila,2015
Total Pentavalent Given,03Immunization,Upazila,2015
Total TT Given to 15 - 49 Y,03Immunization,Upazila,2015
Total TT Given to Pregnant Women,03Immunization,Upazila,2015
Total fIPV Given,03Immunization,Upazila,2015
fIPV1 Crude Coverage %,03Immunization,Upazila,2015
fIPV2 Crude Coverage %,03Immunization,Upazila,2015
% of female baby admitted in SCANU reported individually,04Newborn,Upazila,2015
% of male baby admitted in SCANU reported individually,04Newborn,Upazila,2015
Percentage of newborn who received postnatal care within two days of birth at facility,04Newborn,Upazila,2015
Percentage of newborns delivered by SBA at community that received CHX (7.1%) to the cord after birth,04Newborn,Upazila,2015
Percentage of newborns delivered by SBA at facility that received CHX (7.1%) to the cord after birth,04Newborn,Upazila,2015
Percentage of newborns initiated breastfeeding within one hour after birth,04Newborn,Upazila,2015
% of maternal death reported individually with causes of death,01MaternalHealth,Upazila,2015
Institutional C-section rate,01MaternalHealth,Upazila,2015
Institutional Normal Delivery Rate (Only EmOC Facilities),01MaternalHealth,Upazila,2015
Maternal Case fatality rate (EmOC),01MaternalHealth,Upazila,2015
Percentage of cases with puerperal sepsis among admitted patient in EmONC,01MaternalHealth,Upazila,2015
Percentage of postpartum hemorrhage among admitted patient in EmONC,01MaternalHealth,Upazila,2015
Proportion of cases with postpartum hemorrhage among admitted patient in EmONC,01MaternalHealth,Upazila,2015
Proportion of cases with puerperal sepsis among admitted patient in EmONC,01MaternalHealth,Upazila,2015
Total Complicated Mother,01MaternalHealth,Upazila,2015
Total No. of pregnant mothers with obstetric complication,01MaternalHealth,Upazila,2015
Total birth in EmONC facilities,01MaternalHealth,Upazila,2015
Total deliveries in EmONC facilities,01MaternalHealth,Upazila,2015
Total still birth at EmOC facility,01MaternalHealth,Upazila,2015
Percentage of functional ambulance,05Logistics,Upazila,2015
Percentage of functional x-ray,05Logistics,Upazila,2015
1st Visit ANC,AntenatalCare(ANC),Upazila,2015
2nd Visit ANC,AntenatalCare(ANC),Upazila,2015
3rd & more ANC,AntenatalCare(ANC),Upazila,2015
,True,Upazila,2014
% of breast feeding initiated within 1 hour by CSBA,02ChildHealth,Upazila,2014
% of neonatal death reported individually,02ChildHealth,Upazila,2014
IMCI Stunting (%),02ChildHealth,Upazila,2014
IMCI Total Child,02ChildHealth,Upazila,2014
IMCI Underweight (%),02ChildHealth,Upazila,2014
IMCI Wasting (%),02ChildHealth,Upazila,2014
Neonatal Case fatality rate (EmOC),02ChildHealth,Upazila,2014
Percentage of diarrhea reported at facility,02ChildHealth,Upazila,2014
Percentage of pneumonia reported at facility,02ChildHealth,Upazila,2014
BCG Crude Coverage %,03Immunization,Upazila,2014
BCG left out Rate,03Immunization,Upazila,2014
BCG to MR 1 Drop out Rate,03Immunization,Upazila,2014
BCG to Penta 3 drop out Rate,03Immunization,Upazila,2014
BCG vial wastage rate,03Immunization,Upazila,2014
EPI Session drop out rate,03Immunization,Upazila,2014
IPV vial wastage rate,03Immunization,Upazila,2014
MR 1 Crude Coverage %,03Immunization,Upazila,2014
MR 1 to MR 2 drop out Rate,03Immunization,Upazila,2014
MR 2 Crude Coverage %,03Immunization,Upazila,2014
MR vial wastage rate,03Immunization,Upazila,2014
OPV 0 Crude Coverage %,03Immunization,Upazila,2014
OPV 1 Crude Coverage %,03Immunization,Upazila,2014
OPV 2 Crude Coverage %,03Immunization,Upazila,2014
OPV 3 Crude Coverage %,03Immunization,Upazila,2014
OPV vial wastage rate,03Immunization,Upazila,2014
PCV 1 Crude Coverage %,03Immunization,Upazila,2014
PCV 2 Crude Coverage %,03Immunization,Upazila,2014
PCV 3 Crude Coverage %,03Immunization,Upazila,2014
PCV vial wastage rate,03Immunization,Upazila,2014
Penta 1 Crude Coverage %,03Immunization,Upazila,2014
Penta 1 to MR 1 drop out Rate,03Immunization,Upazila,2014
Penta 1 to MR 2 drop out Rate,03Immunization,Upazila,2014
Penta 1 to Penta 3 drop out Rate,03Immunization,Upazila,2014
Penta 2 Crude Coverage %,03Immunization,Upazila,2014
Penta 3 Crude Coverage %,03Immunization,Upazila,2014
Pentavalent vial use and doses ratio,03Immunization,Upazila,2014
Pentavalent vial wastage rate,03Immunization,Upazila,2014
TT vial wastage rate,03Immunization,Upazila,2014
Total MR Given,03Immunization,Upazila,2014
Total OPV Given,03Immunization,Upazila,2014
Total PCV Given,03Immunization,Upazila,2014
Total Pentavalent Given,03Immunization,Upazila,2014
Total TT Given to 15 - 49 Y,03Immunization,Upazila,2014
Total TT Given to Pregnant Women,03Immunization,Upazila,2014
Total fIPV Given,03Immunization,Upazila,2014
fIPV1 Crude Coverage %,03Immunization,Upazila,2014
fIPV2 Crude Coverage %,03Immunization,Upazila,2014
Differences between Pentavalent doses and vial uses,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Penta vial Opening + Receive,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazila EPI AEFI Form need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazila EPI AEFI Investigation form need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazila EPI AEFI form E36 - E39 need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazila EPI AEFI line listing form need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazila EPI BCG diluent need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazila EPI BCG need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazila EPI CC supply book need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazila EPI Child Card need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazila EPI Child Report Book need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazila EPI Child register need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazila EPI FW product distribution register need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazila EPI IPV need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazila EPI MR diluent need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazila EPI MR need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazila EPI MR vial total supplied,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazila EPI Moni flag need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazila EPI OPV dropper need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazila EPI OPV need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazila EPI PCV need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazila EPI Pentavalent need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazila EPI Safety Box need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazila EPI Supervision Form need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazila EPI Syringe (0.05 ml) need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazila EPI Syringe (0.1 ml) need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazila EPI Syringe (0.5 ml) need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazila EPI Syringe (5 ml) need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazila EPI Syringe(2/3ml) need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazila EPI TT Card need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazila EPI TT need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazila EPI Tally Book(Women) need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazila EPI Tally Book(child) need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazila EPI Women Report Book need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazila EPI Women register need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazila EPI batch card need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazila EPI daily vaccine distribution register need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazila EPI stock register for logistic need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazila EPI stock register for vaccine/diluent need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazila EPI supply book need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazila EPI temperature chart need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazila EPI zip lock bag need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazilla EPI AEFI Form stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazilla EPI AEFI Investigation form stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazilla EPI AEFI form E36 - E39 stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazilla EPI AEFI line listing form stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazilla EPI BCG diluent stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazilla EPI BCG stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazilla EPI CC supply book stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazilla EPI Child Card stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazilla EPI Child Report Book stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazilla EPI Child register stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazilla EPI FW product distribution register stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazilla EPI IPV stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazilla EPI MR diluent stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazilla EPI MR stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazilla EPI Moni flag stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazilla EPI OPV dropper stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazilla EPI OPV stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazilla EPI PCV stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazilla EPI Safety Box stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazilla EPI Supervision Form stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazilla EPI Syringe (0.05 ml) stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazilla EPI Syringe (0.1 ml) stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazilla EPI Syringe (0.5 ml) stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazilla EPI Syringe (5 ml) stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazilla EPI Syringe(2/3ml) stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazilla EPI TT Card stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazilla EPI TT stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazilla EPI Tally Book(Women) stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazilla EPI Tally Book(child) stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazilla EPI Women Report Book stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazilla EPI Women register stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazilla EPI batch card stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazilla EPI daily vaccine distribution register stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazilla EPI pentavalent stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazilla EPI stock register for logistic stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazilla EPI stock register for vaccine/diluent stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazilla EPI supply book stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazilla EPI temperature chart stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
Upazilla EPI zip lock bag stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
upazilla_epi_AEFI Form closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
upazilla_epi_AEFI Investigation form closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
upazilla_epi_AEFI form E36 - E39 closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
upazilla_epi_AEFI line listing form closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
upazilla_epi_BCG Diluent closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
upazilla_epi_BCG closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
upazilla_epi_Child Card closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
upazilla_epi_Child Report Book closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
upazilla_epi_Child register closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
upazilla_epi_IPV closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
upazilla_epi_MR Diluent closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
upazilla_epi_MR closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
upazilla_epi_Moni Flag closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
upazilla_epi_OPV closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
upazilla_epi_OPV dropper closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
upazilla_epi_PCV closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
upazilla_epi_Pentavalent closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
upazilla_epi_Safety Box closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
upazilla_epi_Supervision Form closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
upazilla_epi_Syringe (0.05 ml) closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
upazilla_epi_Syringe (0.1 ml) closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
upazilla_epi_Syringe (0.5 ml) closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
upazilla_epi_Syringe (3 ml) closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
upazilla_epi_Syringe (5 ml) closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
upazilla_epi_TT Card closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
upazilla_epi_TT closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
upazilla_epi_Tally Book (Women) closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
upazilla_epi_Tally Book (child) closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
upazilla_epi_Women Report Book closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
upazilla_epi_Women register closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
upazilla_epi_batch card closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
upazilla_epi_cc EPI supply book closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
upazilla_epi_daily vaccine distribution closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
upazilla_epi_fw product distribution closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
upazilla_epi_stock register for logistic closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
upazilla_epi_stock register for vaccine/diluent closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
upazilla_epi_supply book closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
upazilla_epi_temperature chart closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
upazilla_epi_zip lock bag closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,Upazila,2014
% of female baby admitted in SCANU reported individually,04Newborn,Upazila,2014
% of male baby admitted in SCANU reported individually,04Newborn,Upazila,2014
Percentage of newborn who received postnatal care within two days of birth at facility,04Newborn,Upazila,2014
Percentage of newborns delivered by SBA at community that received CHX (7.1%) to the cord after birth,04Newborn,Upazila,2014
Percentage of newborns delivered by SBA at facility that received CHX (7.1%) to the cord after birth,04Newborn,Upazila,2014
Percentage of newborns initiated breastfeeding within one hour after birth,04Newborn,Upazila,2014
% of maternal death reported individually with causes of death,01MaternalHealth,Upazila,2014
Institutional C-section rate,01MaternalHealth,Upazila,2014
Institutional Normal Delivery Rate (Only EmOC Facilities),01MaternalHealth,Upazila,2014
Maternal Case fatality rate (EmOC),01MaternalHealth,Upazila,2014
Percentage of cases with puerperal sepsis among admitted patient in EmONC,01MaternalHealth,Upazila,2014
Percentage of postpartum hemorrhage among admitted patient in EmONC,01MaternalHealth,Upazila,2014
Proportion of cases with postpartum hemorrhage among admitted patient in EmONC,01MaternalHealth,Upazila,2014
Proportion of cases with puerperal sepsis among admitted patient in EmONC,01MaternalHealth,Upazila,2014
Total Complicated Mother,01MaternalHealth,Upazila,2014
Total No. of pregnant mothers with obstetric complication,01MaternalHealth,Upazila,2014
Total birth in EmONC facilities,01MaternalHealth,Upazila,2014
Total deliveries in EmONC facilities,01MaternalHealth,Upazila,2014
Total still birth at EmOC facility,01MaternalHealth,Upazila,2014
Percentage of functional ambulance,05Logistics,Upazila,2014
Percentage of functional x-ray,05Logistics,Upazila,2014
1st Visit ANC,AntenatalCare(ANC),Upazila,2014
2nd Visit ANC,AntenatalCare(ANC),Upazila,2014
3rd & more ANC,AntenatalCare(ANC),Upazila,2014
,True,District,2011
Differences between Pentavalent doses and vial uses,07Vaccine&LogisticsstockofUpazilaMunCC,District,2011
Penta vial Opening + Receive,07Vaccine&LogisticsstockofUpazilaMunCC,District,2011
Upazila EPI AEFI Form need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2011
Upazila EPI AEFI Investigation form need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2011
Upazila EPI AEFI form E36 - E39 need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2011
Upazila EPI AEFI line listing form need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2011
Upazila EPI BCG diluent need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2011
Upazila EPI BCG need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2011
Upazila EPI CC supply book need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2011
Upazila EPI Child Card need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2011
Upazila EPI Child Report Book need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2011
Upazila EPI Child register need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2011
Upazila EPI FW product distribution register need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2011
Upazila EPI IPV need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2011
Upazila EPI MR diluent need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2011
Upazila EPI MR need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2011
Upazila EPI MR vial total supplied,07Vaccine&LogisticsstockofUpazilaMunCC,District,2011
Upazila EPI Moni flag need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2011
Upazila EPI OPV dropper need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2011
Upazila EPI OPV need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2011
